"Promotional Gift","Règles de promotion cadeau"
"Shoppingcart Rule Manager","Gestion des règles panier"
"Add Rule","Ajouter une règle"
"Report","Rapport"
"Catalog Rule Manager","Gestion des règles catalogue"
"Rule Name","Nom règle"
"Coupon Code","Code Coupon"
"Date Start","Date de début"
"Date Expire","Date d\'expiration"
"Status","Statut"
"Priority","Priorité"
"Action","Action"
"Edit","Editer"
"Save Rule","Enregistrer la règle"
"Delete Rule","Supprimer la règle"
"Save And Continue Edit","Sauvegarder et continuer à Editer"
"Edit Rule '%s'","Editer la règle '%s'"
"Rule Information","Information de la règle"
"Conditions","Conditions"
"Gift Items","Articles Cadeaux"
"Name","Nom"
"Attrib. Set Name","Attrib. Set Name"
"Visibility","Visibilité"
"SKU","REF"
"Price","Prix"
"Gift Qty","Qté cadeau"
"Description","Description"
"Websites","Websites"
"Customer Groups","Groupes Clients"
"Coupon Type","Type de Coupon"
"Uses Per Coupon","Nombre utilisations par coupon"
"Time Used","Time Used"
"Start Date","Date de départ"
"End Date","Date d\'expiration"
"Promotional Gift Information","Information sur règle de prix cadeau promotionnel"
"Number of Selectable Promotional Gifts","Nombre de cadeaux promotionnels sélectionnables"
"The maximum number of Promotional gifts customers can select among provided gift items","Le nombre maximum de cadeaux promotionnels qu'un client clien peut sélcetionner parmi les cadeaux proposés"
"Apply the rule only if the following conditions are met (leave blank for all orders)","Appliquer la règle seulement si les conditions suivantes sont respectées.(laissez vide pour toutes les commandes)"
"Chart Report","Rapport Graphique"
"Order total","Order Total de commande"
"# Money ($)","# Devise ($)"
"This graph shows the gift value and order total of all sales over time.","Ce graph montre la valeur du cadeau et la montant total de toutes les ventes."
"Order Id","Id de la commande"
"Order Total","Montant total de la commande"
"Promotional Gift","Cadeau Promotionnel"
"Gift Value","Valeur Cadeau"
"Created Time","Date de création"
"View Product Detail","Voir le produit en détail"
"View Order Detail","Voir la commande en détail"
"Use Limit","Limite d\'utilisation"
"This promotional gift cannot be added to cart.","Ce cadeau promotionnel ne peut pas être ajouté au panier."
"was added to your shopping cart."," a été ajouté à votre panier."
"Shopping Cart Rules","Règles de Panier"
"shopping cart Rule Manager","Gestion des règles panier'
"Rule Manager","Gestion des règles"
"Rule News","Information sur les règles"
"Rule does not exist","La règle n\'existe pas"
"This coupon code has been created in the other rule already!","Ce code coupon a déjà été crée dans une autre règle !"
"Shopping cart rule has been successfully saved!","La règle panier a bien été sauvegardée !"
"Saving failed! Unable to find shoppingcart rule.","La sauvegarde a échoué ! Incapable de trouver la règle panier."
"Shoppingcart rule was successfully deleted","La règle panier a bien été supprimée"
"Catalog Rules","Régles Catalogue"
"Catalog rule was successfully saved","Règle Catalogue a bien sauvée"
"Unable to find catalog rule to save","Incapable de trouver une règle  pour sauvegarder"
"Rule was successfully deleted","La règle a bien été supprimée"
"Enabled","Activé"
"Disabled","Désactivé"
"has been automatically added to your shopping cart as a Promotional gift!"," a eté automatiquement ajouté à votre panier comme cadeau!"
"Show it on cart","Afficher dans le panier"
"Show it on checkout","Afficher dans le tunnel de vente"
"Show it on cart and checkout","Afficher dans le panier et dans le tunnel de vente"
"Hide it","Ne pas afficher"
"Select Range","Sélectionner la gamme"
"No Data Found","Aucune donnée trouvée"
"Chart Report","Rapport graphique"
"Select your Promotional gift(s)","Sélecter vos cadeaux promotionnels"
"Please select %s Promotional gifts from the following items","Veuiller sélectionner %s cadeaux promotionnels avec les articles suivants"
"Add To Cart","Ajouter au Panier"
"Qty: %s","Qté: %s"
"Promotional Gift Campaigns","Campagnes de cadeaux promotionnels"
"Products Offered Promotional Gifts","Produits offerts comme cadeaux promotionnels"
"There are no products matching the selection.","Il n\'y a aucun produits correspondant à votre sélection."
"Loading","En cours de chargement"
"Continue shopping","Continuer le shopping"
"Go to Wishlist","Go à la liste d\'envies"
"Addding to wishlist","Ajouté à la wishlist"
"Adding to compare","Ajouté pour comparer"
"Updating total","Mis à jour du total"
"Removing","Supprimé"
"Are you sure you would like to remove this item from the shopping cart?","Êtes vous sur de vouloir supprimer cet article du panier ?"
"Updating Shopping Cart","Mis à jour du panier"
"Adding","Ajouté"
"to cart","au panier"
"Getting a Quote","Obtenir un devis"
"Close","Fermer"
"Checkout","Tunnel de paiement"
"Promotional Gift","Cadeau promotionnel"