"Enabled","Activé"
"Quote Format number","Format du numéro de du devis"
"Sequence Quote Start","Numero de séquence"
"Filename Prefix","Préfixe du nom de fichier"
"Label on cart page","Label sur la page du panier"
"Display link only for logged in customer?","N'afficher le lien uniquement pour les utilisateurs connecté"
"Only logged in customer can print a quote?","Seuls les utilisateurs connectés peuvent imprimer un devis"
"Email Sender","Expéditeur de l'email"
"Email Template","Template de l'email"
"Send notification too","Envoyer la notification à"
"Font","Font"
"Logo - address position","Position de l'adresse et du logo"
"Address Font Size","Taille de la font pour l'adresse"
"Address Color","Couleur de l'adresse"
"Border Color","Couleur de la bordure"
"Background Color","Couleur de fond"
"Quote Font Size","Taille de la police pour le devis"
"Quote Color","Couleur du devis"
"Cart Header Font Size","Taille de la font pour la tête du panier"
"Cart Header Color","Couleur de la tête du panier"
"Cart Content Font Size","Taille de la font du contenu du panier"
"Cart Content Color","Couleur du contenu du panier"
"Total Color","Couleur des totaux"
"Subtotal Font Size","Taille de la font des sous-totaux"
"Grand Total Font Size","Taille de la font du grand total"
"Preview","Prévisualisation"
"Layout","Mise en page"
"Alert settings","Réglage des alertes"
"Frontend parameters","Paramètres du frontend"
"General parameters","Paramètres généraux"
"Configuration fields for your top header layout","Information de configuration pour la tête du document"
"Configuration fields for your general quote information block","Information de configuration pour les informations générales de l'estimation"
"Configuration fields for the header of the cart table","Information de configuration pour la tête du panier"
"Configuration fields for cart content","Information de configuration pour le contenu du panier"
"Configuration fields for totals block","Information de configuration pour les totaux"
"Use the symbol # to place your sequence number.","Utiliser le symbole # pour afficher votre numéro de séquence."
"Quote Id will be added to this sequence to replace the # in your Quote Format Number.","Le numéro de devis sera ajouté à cette séquence pour remplacer le symbole # dans le Format de votre numéro d'estimation."
"Prefix for the filename downloadable by client.","Préfixe du nom du fichier téléchargeable par le client."
"Label displayed on cart page.","Label affiché sur la page du panier"
"Position of the logo and the address","Position du logo et de l'adresse"
"Font size of the address text","Taille de la font de l'adresse"
"Color of the address text (hexadecimal format)","Couleur du texte de l'adresse (format hexadécimal)"
"Color of the border block (hexadecimal format)","Couleur de la bordure du bloc (format hexadécimal)"
"Color of the background block (hexadecimal format)","Couleur de fond du bloc (format hexadécimal)"
"Font size of the quote block text","Taille de la font du texte de l'estimation."
"Color of the quote block text (hexadecimal format)","Couleur du texte de l'estimation (format hexadécimal)"
"Font size of the cart header block text","Taille de la font de la tête du panier"
"Color of the cart header block text (hexadecimal format)","Couleur du texte de la tête du panier (format hexadécimal)"
"Font size of the cart content text","Taille de la font du texte du contenu du panier"
"Color of the cart content text (hexadecimal format)","Couleur du texte du contenu du panier (format hexadécimal)"
"Color of the total content text (hexadecimal format)","Couleur du texte du bloc des totaux (format hexadécimal)"
"Font size of the subtotal text","Taille du texte des sous-totaux"
"Font size of the grand total text","Taille du texte du grand total"
"Logo on left - Address on right","Logo à gauche - Adresse à droite"
"Logo on right - Address on left","Logo à droite - Adresse à gauche"
"Quote #","Devis #"
"Quote Date","Date du devis"
"Product Name","Nom du produit"
"SKU","SKU"
"Unit Price","Prix Unitaire HT"
"Qty","Qté"
"Subtotal","Sous-total HT"
"Grand Total","Total final"
"My PDF quotes","Mes Devis"
"Number of items","Nombre d'articles"
"Download","Télécharger"
"Quote ID", "ID du devis"
"Quote PDF", "Liste des devis PDF"    
"You have no quote available.","Vous n'avez pas encore généré de devis."